,0
NCKAP5,-0.10792143310869211
HDAC1,-0.011955665267694314
ALS2CR12,-0.15102305700666127
BFAR,-0.009660810782902488
ZCWPW1,-0.1433687763581285
ZP1,-0.15075426111922086
PDZD7,-0.10355097897747971
S100A4,-0.1773220083760735
APOOL,-0.10406915552197692
HDAC8,-0.01370968741162975
RALY,-0.019620477255290987
RABL3,-0.12443706705864421
ZNF490,0.008424178033732846
MRPL9,-0.030126835233039696
DNAH14,0.020061610688837547
OR51S1,0.0
SYNJ2,-0.07166230322003254
PRDX6,-0.1539867725214127
BAAT,-0.03307588934589242
PTPN11,-0.15900734661618343
UBE3B,-0.04015545132335171
DNAJC22,-0.05863856624071082
NCOA2,-0.10750652075186524
AMFR,-0.10293489876143395
TMEM229B,-0.05384457259367483
RBM45,0.055593530830866524
ZNF502,-0.2349251967655373
FZD1,-0.15906760396432704
CELSR3,-0.07442568123438793
NR4A3,-0.21932604490453855
PDGFRB,-0.11049379855964397
ALAS1,-0.06855478846783836
REPS1,-0.09702306353711011
CCL20,-0.12654150658484684
DDX31,-0.01074355583957613
CCDC102A,-0.13522075696295163
PSG9,-0.06839074852270782
DIRAS1,-0.0908664083030334
ATG12,-0.060569936514949366
BMX,-0.2956906725755231
TNKS2,-0.1116195964723046
TNFRSF9,-0.08300066820428771
MAGI1,-0.21312372536485563
GPR160,-0.0025503168589768054
ASB2,-0.05375299391970533
MRPL23,-0.08924947855150948
AURKC,-0.08051540702560461
INO80D,-0.12045183612435424
TFB2M,0.022451204769725303
TOR1AIP1,-0.1192761855302792
GABRG3,-0.08565302564836225
LEFTY1,-0.06696992975647464
SRGAP1,-0.10446265918402751
PRKRIP1,-0.03321019040828069
PCBP2,-0.08992783169221359
GUCA1C,0.0
NBL1,-0.09973700556839667
SURF6,-0.047332486622340235
TEAD3,-0.05889649173065029
GJB1,-0.17520188355248068
CYP2S1,-0.09802022146914233
SORBS3,-0.13155384588519065
TGFB1I1,-0.18102579855989046
FAM26E,-0.16114792850441154
OSGIN2,-0.09888009698196053
NAP1L3,-0.1736761320000729
TERF2IP,-0.14898562887957267
PDE7A,-0.09976652222069868
SRC,-0.0254348958368215
ANXA4,-0.07562563012409396
GPR146,-0.25309684528167814
BPHL,-0.06462123965547088
ZNF556,-0.11993127577056821
AIM2,-0.12226427588471254
ARHGAP25,-0.16892273433068225
BRIP1,-0.06266024668663343
TFAP4,-0.034837388918174506
CLK4,-0.19061703087992277
ZFY,-0.08838180964891662
PROM2,-0.022915317638767915
DLK2,-0.2751186132349458
UQCR11,-0.08452055882654433
SLC35F1,-0.15503391364149982
OR4C15,0.0
LIN28B,-0.0667466057084601
SLC2A9,-0.16456354347494473
DIRC2,-0.0566264432246368
NUP153,-0.09859811205450397
ZNF333,-0.17885079018965433
PARP1,0.047565976258866556
GRPEL1,-0.05745731810775044
ADRA1D,-0.11289844585553703
SVOP,-0.10057180045849248
PLEKHA6,-0.033033531276451956
NEFH,-0.1572863583500584
GABRA3,-0.08991224810740453
TTC17,-0.09557380149910905
ISL2,-0.09254188235105083
ATOH8,-0.27871143522867964
C1RL,-0.14598295496777927
TEX19,-0.07476449108874891
ZSCAN22,-0.06631125929640504
SAMD5,-0.2995350301046421
